game_id,filename,winner_team,last_day,n_players,end_reason,total_day_votes,total_night_votes,n_rounds,n_tie_rounds,avg_concentration,tie_rate,avg_night_agreement
74788902,74788902.json,Villagers,2.0,8,Reason: All werewolves exiled.,12,3,4,0,0.8785714285714286,0.0,1.0
74788904,74788904.json,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",12,4,4,0,0.8642857142857143,0.0,1.0
74788934,74788934.json,Werewolves,4.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=1, len(villagers)=1).",18,6,7,0,0.9047619047619049,0.0,1.0
74788967,74788967.json,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",13,6,5,0,0.9047619047619048,0.0,1.0
74788999,74788999.json,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",12,4,4,0,0.8642857142857143,0.0,1.0
74789000,74789000.json,Villagers,3.0,8,Reason: All werewolves exiled.,15,5,6,0,0.8634920634920635,0.0,1.0
74789096,74789096.json,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",14,6,5,0,0.8833333333333332,0.0,1.0
74789224,74789224.json,Villagers,3.0,8,Reason: All werewolves exiled.,16,5,6,0,0.8678571428571429,0.0,1.0
74789286,74789286.json,Villagers,2.0,8,Reason: All werewolves exiled.,12,3,4,0,0.9142857142857143,0.0,1.0
74789319,74789319.json,Villagers,2.0,8,Reason: All werewolves exiled.,12,3,4,0,0.9142857142857143,0.0,1.0
74789348,74789348.json,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",13,6,5,0,0.9380952380952381,0.0,1.0
74789380,74789380.json,Werewolves,3.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",13,6,5,0,0.9380952380952381,0.0,1.0
74789412,74789412.json,Werewolves,2.0,8,"Reason: len(werewolves) >= len(villagers). Final counts: len(werewolves)=2, len(villagers)=2).",12,4,4,0,0.9142857142857143,0.0,1.0
74789441,74789441.json,Villagers,2.0,8,Reason: All werewolves exiled.,12,3,4,0,0.9142857142857143,0.0,1.0
74789534,74789534.json,Villagers,3.0,8,Reason: All werewolves exiled.,18,5,6,0,0.861111111111111,0.0,1.0
74789723,74789723.json,Villagers,3.0,8,Reason: All werewolves exiled.,15,4,6,0,0.8539682539682539,0.0,1.0
74789727,74789727.json,Villagers,3.0,8,Reason: All werewolves exiled.,15,5,6,0,0.8873015873015873,0.0,1.0
74789792,74789792.json,Villagers,2.0,8,Reason: All werewolves exiled.,12,3,4,0,0.9142857142857143,0.0,1.0
74789799,74789799.json,Villagers,3.0,8,Reason: All werewolves exiled.,18,5,6,0,0.9097222222222222,0.0,1.0
